num,date,review,rating,like
105,2021년 04월 15일,"아주 자주 사용하고 있어요, 잘 쓸께요.",3,
106,2021년 04월 15일,특가 상품으로 사는 재미가 쏠쏠함 ㅋㅋ,5,
107,2021년 04월 15일,편리하게 사용 가능~,5,
108,2021년 04월 15일,가성비 좋은상품 많네요,5,
109,2021년 04월 15일,좋은 물건 저렴한 가격 만ㅋ족ㅋ,3,
110,2021년 04월 15일,굳쨥 ㅋ,4,
111,2021년 04월 15일,빠른 배송과 함께 제품상태도 좋습니다,5,
112,2021년 04월 15일,앱이 점점 개선되어가고 있는게 보여요~!! 감사합니다,5,
113,2021년 04월 15일,좋아요. 쿠폰이 진짜 자주 들어오네요.,3,
114,2021년 04월 15일,저는 어플에 만족합니다~,5,
115,2021년 04월 15일,할인 많이되서 좋아용,5,
116,2021년 04월 15일,이거저거 다 살 수 있어서 만족합니다.,3,
117,2021년 04월 15일,요즘 여기서만 구매하는중..,4,
118,2021년 04월 15일,품질 진짜 좋네요,5,
119,2021년 04월 15일,"상담원분께서 친절하고, 빠르게 처리해주셔서 좋았어요!",5,
120,2021년 04월 15일,여기서 구매하고 딱히 실망한적은 거의 없는듯여,3,
121,2021년 04월 15일,만족합니다,5,
122,2021년 04월 15일,"할인이 다양하게 되니까, 장보기 좋네요.",4,
123,2021년 04월 15일,요즘은 여기서 밖에 구입 안함 ㅎㅎ,3,
124,2021년 04월 15일,저 완전 싼 가격에 득템했어요 엘포인트도 쓸 수 있어서 좋구요,5,
125,2021년 04월 15일,타사 쇼핑앱 이용하다가 넘어왔어요~,5,
126,2021년 04월 15일,결혼 하고 늘 사용 하는중 좋아용..ㅎㅎ,3,
127,2021년 04월 15일,롯데 여러 쇼핑몰들을 한꺼번에 확인할 수 있다는 게 장점이욤,5,
128,2021년 04월 15일,갠적으로 너무 좋아요,5,
129,2021년 04월 15일,"생필품 쇼핑에 적합, 배송 완전 빠름",4,
130,2021년 04월 15일,지름신 강림 그만 당하고싶다…내 통장은 점점 텅텅장 ㅠ,3,
131,2021년 04월 15일,쇼핑하기 편해요~ 엄마한테 알려드릴 예정,5,
132,2021년 04월 15일,"가성비 상품을 많이 겟 할수 있어서 좋아요, 앞으로 더 좋은 업데이트 부탁 드립니다!",3,
133,2021년 04월 15일,상품 구매할때 엄청 싸게 구매했어요 다른 곳보다 할인도 많이 하는거 같아요!,5,
