,num,date,review,rating,like
0,148,2020년 12월 14일,개짜증남. ssg카드사용시 배송비쿠폰 적용 자동으로 안되고 수동으로도 안됨ㅡㅡ 앱 다시깔면 또 됨. 앱거지같음 반성하고 수정해주심 좋겠음,1,26
0,149,2020년 12월 14일,타 쇼핑앱보다 용량이 너무 크네요 그래서 삭제함,2,1
0,150,2020년 12월 14일,ssg라고 믿고 구매했더니 짭을 파네요ㅋㅋ 상표가 뒤집혀 박혀 옴,1,2
0,151,2020년 12월 14일,"쇼핑케어 쿠폰 사용시 왜 상품별로 쿠폰적용여부가 안나오는거죠? 상품페이지랑 장바구니에서 안나오는건 이해해도 쓱배송 상품, 결제기준금액까지 다 맞춰서 결제까지 같는데, 쿠폰이 안뜸. 심지어 어떤게 해당안되는 건지도 안알려줌 10상품 살거면 하나씩 3만원 넘게 해서 확인하라는 고객센터... 쇼핑케어를 제공하는 홈플러스는 장바구니 3만원만 넘으면 그냥 쿠폰 사용하게 하는데.. 그걸 바라는 것도 아니고, 어떤게 적용안되는 상품인지 알려달라는게 어렵나요? 결제 적용안되는거 체크할때 어차피 상품들 하나씩 체크하는거 아닌가요? 소비시키려고 쿠폰...
전체 리뷰",1,37
0,152,2020년 12월 12일,간편하고 시간대나 배달은 빨리 되는거 같아요,5,2
0,153,2020년 12월 12일,가끔씩 할인이 많이 되서 사용합니다,4,
0,154,2020년 11월 30일,앱 너무 잘쓰고 있어요 쇼핑하기 편해요,5,1
0,155,2020년 11월 28일,쓰렉 정용진,1,
0,156,2020년 12월 22일,구웃,5,
0,157,2020년 11월 28일,더럽게느림,1,1
0,158,2020년 11월 24일,보안해제시 불법 자동구동앱,1,
0,159,2020년 11월 24일,이벤트 페이지나 쿠폰페이지는 들어가지지도 않고 사이트도 마찬가지네요 마이페이지도 안들어가고 속터져죽겠네요,1,18
0,160,2020년 11월 23일,이거게임마자이거만든자쓰레기!!!!!진짜너무많이짜증나고화나고오늘정말안좋은날이네요!!!!!!!!!!!!!!!!😡😡😡🌋🚷,1,1
0,161,2020년 11월 23일,무음 알림 설정을 해도 알림이 울립니다. 확인바랍니다.,3,9
0,162,2020년 11월 23일,"너무 관심 없는데 강제로 창이 뜹니다...,",1,5
0,163,2020년 11월 22일,"관계자님 쓱배송 자주사용하는 주부입니다 정말 물건 살때마다 성질나서 못사겠네요 일부로 현대까드SSG까지 만들었는데 매번 급한물건 꼭필요한거 배송하면 배송시간 다되사 품절이라하고 진짝 살때 품절띄어 놓던가요 특가세일 1+1해놓고 결제하면 배송시간 10분전에 환불한다고 톡하나 찍 오고 ,,뭐 판매 하는건지 미끼인지 몰겠는데 살때마다 사람 우롱하는것같아서 짜증나네요 믿을수있는곳으로 갈아탈랍니다 정말 품절도 한두번이고 한두개여야 참던가하지 만들어논지 오래된식품을 보내지않나..나참.",1,69
0,164,2020년 11월 21일,굿굿,5,
0,165,2020년 11월 21일,강아지 똥 똥 똥 똥 똥 똥 똥,1,
0,166,2020년 11월 20일,네이버 알림창 사이즈때문에 짤린다. 테스트나 해보나 신세계 개발자들아,1,3
0,167,2020년 11월 17일,어플에서 입고알림 부분에서 사이즈 창이 뜨고 입고알림을 눌러야 되는데 사이즈창이 제대로 뜨질않아서 예약도 안되고 옷도 살수없네요 빨리 확인부탁드립니다~,1,40
0,168,2020년 11월 16일,개별로,1,
0,169,2020년 11월 14일,보기쉽게 구성되어있네요,5,1
0,170,2020년 11월 13일,배송 대체 언제 되는건지 너무 궁금하네요. 추석이 지나간지가 언제인데 아직까지도 그 소리를 하는건지,1,7
0,171,2020년 11월 10일,자취할때는 혁명적이었던 배송 시스템. 이곳저곳에 쿠폰도 많고 배송 시간 정할 수 있어서 외출이 잦은 자취생에게 정말 필수였다. 하지만 한 페이지에 정보가 너무 많아서 깔끔하다는 느낌은 없었다.,4,3
0,172,2020년 11월 8일,최고입니다! 쓱~좋아합니다^^,5,
0,173,2020년 11월 8일,네이버 가입하고 인증 받았는데 몇번을 눌러도 안넘어가요. 사기네,1,3
0,174,2020년 11월 8일,Enjoy Home Shopping!,5,
0,175,2020년 11월 7일,가격도 착한 편이고 배송도 빠르고 친절한 배달 직원들이 많아요.,4,7
0,176,2020년 11월 6일,여기서 거의 모든장을 다 보네요 너무 편하고 좋아요 가격도 저렴하구요,5,1
0,177,2020년 11월 5일,평소 잘 쓰고있는데 어제오늘 주문 좀 하려니까 배송지변경 누르면 error뜨고 변경도 안되고 앱을 이용할수가 없네요,5,7
0,178,2020년 11월 4일,주문했는데 물건이 안옴. 예를들어 일요일에 주문하면 수요일날 배송한다 해도 다른 앱들은 화요일에 배송완료 혹은 수요일 딱 맞춰서 오는데 여긴 감감무소식.. 늦으면 늦는다 말이라도 하던가. 이게 오긴 오는건지 중간에 분실한건지 알수가 없고 그저 하염없이 기다릴뿐이고.. 아니 최소한 말이라도 해줘야 나도 차선책을 생각하지. 여긴 물건이 필요할때 삼일 기다렸다 받는게 아니라 한 일주일에서 한달쯤 여유를 두고 시켜야 하는건가? 문의를 하려고해도 문의할 곳이 없음. 택배기사 판매자 연락할 방법이 전무하고.. 진짜 짜증남.,1,45
0,179,2020년 11월 3일,"솔직히 카카오뱅크에서 혜택이 있어 사용함, 그게 아님 사용 안함.",5,1
